open_time_ms,open,high,low,close,volume
1784468700000,64393.70,64497.90,64383.90,64453.00,676.453
1784469600000,64453.00,64534.70,64446.20,64517.60,592.074
1784470500000,64517.50,64533.20,64389.00,64437.00,544.861
1784471400000,64437.10,64523.90,64421.40,64500.00,407.982
1784472300000,64500.00,64633.00,64495.80,64561.10,910.925
1784473200000,64561.00,64594.70,64500.00,64551.00,421.676
1784474100000,64550.90,64569.80,64468.00,64480.00,507.840
1784475000000,64480.10,64559.40,64466.60,64536.10,405.241
1784475900000,64536.00,64560.00,64508.20,64545.20,281.622
1784476800000,64545.30,64624.80,64474.20,64523.10,521.519
1784477700000,64523.10,64603.10,64483.30,64582.50,396.596
1784478600000,64582.60,64585.80,64498.70,64577.60,307.957
1784479500000,64577.60,64585.00,64490.30,64510.70,244.137
1784480400000,64510.70,64671.00,64365.70,64670.90,1891.448
1784481300000,64671.00,64733.00,64599.90,64617.10,1083.016
1784482200000,64617.20,64700.20,64572.10,64592.40,457.807
1784483100000,64592.50,64592.50,64505.70,64520.00,524.863
1784484000000,64520.00,64529.10,64262.90,64447.90,1784.912
1784484900000,64447.90,64466.50,64366.00,64369.30,721.357
1784485800000,64369.20,64420.00,64318.00,64400.00,405.915
1784486700000,64400.10,64420.00,64336.50,64399.80,530.125
1784487600000,64399.80,64440.00,64319.50,64428.70,411.481
1784488500000,64428.70,64442.20,64392.00,64415.30,154.987
1784489400000,64415.40,64436.80,64382.00,64391.30,167.590
1784490300000,64391.20,64440.20,64359.50,64438.10,351.112
1784491200000,64438.10,64534.30,64438.00,64480.30,523.701
1784492100000,64480.20,64502.40,64443.30,64462.90,155.685
1784493000000,64463.00,64510.60,64451.00,64475.50,144.900
1784493900000,64475.50,64516.00,64446.00,64515.90,235.030
1784494800000,64516.00,64539.00,64462.80,64511.00,293.995
1784495700000,64510.90,64514.80,64430.00,64449.90,155.121
1784496600000,64450.00,64450.00,64320.00,64324.10,541.757
1784497500000,64324.10,64409.00,64305.00,64393.70,686.146
1784498400000,64393.60,64660.00,64319.30,64633.50,2523.460
1784499300000,64633.60,64874.90,64633.50,64726.50,2810.151
1784500200000,64726.50,64790.00,64653.40,64777.30,787.914
1784501100000,64777.20,64780.00,64635.00,64642.70,622.469
1784502000000,64642.80,64685.90,64534.90,64669.60,863.774
1784502900000,64669.70,64681.50,64606.00,64642.00,407.607
1784503800000,64642.10,64743.70,64610.20,64720.00,463.562
1784504700000,64720.00,64748.10,64625.60,64694.70,319.934
1784505600000,64694.80,65039.80,64534.60,64987.50,4134.612
1784506500000,64987.40,65084.60,64769.10,64843.80,2308.752
1784507400000,64843.80,64911.80,64756.50,64785.50,1139.516
1784508300000,64785.60,64785.60,64380.00,64526.00,2314.587
1784509200000,64526.00,65011.00,64473.00,64775.20,2449.733
1784510100000,64775.20,64923.60,64657.00,64820.70,1057.405
1784511000000,64820.70,64903.80,64668.80,64736.70,682.909
1784511900000,64736.80,64754.70,64470.00,64594.70,1288.686
1784512800000,64594.70,64920.00,64588.80,64794.50,1700.473
1784513700000,64794.60,64804.60,64551.60,64637.30,1243.541
1784514600000,64637.30,64864.20,64626.10,64801.70,848.079
1784515500000,64801.80,64940.00,64800.10,64800.10,970.225
1784516400000,64800.10,64860.10,64742.90,64812.90,452.124
1784517300000,64812.90,64860.10,64610.20,64650.40,819.000
1784518200000,64650.30,64876.40,64628.50,64876.40,674.710
1784519100000,64876.30,64887.00,64752.80,64839.40,632.794
1784520000000,64839.30,64843.40,64670.00,64674.30,566.365
1784520900000,64674.40,64757.00,64602.00,64733.60,737.777
